starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 24 14:22:14 2016	1456341734	383	1688	2070	230
Wed Feb 24 14:22:01 2016	1456341721	463	1626	2089	249
Wed Feb 24 14:22:08 2016	1456341728	386	1746	2132	227
Wed Feb 24 14:22:12 2016	1456341732	383	1771	2154	198
Wed Feb 24 14:21:59 2016	1456341719	375	1783	2159	200
Wed Feb 24 14:22:10 2016	1456341730	509	1658	2167	193
Wed Feb 24 14:21:54 2016	1456341714	518	1754	2272	223
Wed Feb 24 14:22:03 2016	1456341723	378	1924	2302	281
Wed Feb 24 14:21:56 2016	1456341716	523	1836	2359	213
Wed Feb 24 14:22:05 2016	1456341725	526	1889	2415	210
